Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,"GNI per capita, Atlas method (current US$)",           7693.20,           7300.72,           7734.87,   8109.47,   8755.56,   8775.65,   8291.07,   7358.69,   6951.19,   6531.46,   6342.51,   5454.06,   4731.88,   4157.52,   3650.64,   3214.50,   2958.36,   2969.08,   2878.59,   2742.52,   2788.70,   2778.15,   2651.72,   2466.70,,,,,,,
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),             86.24,             79.50,             75.70,     79.92,     84.45,     86.45,     86.29,     83.91,     81.13,     81.50,     89.39,     86.71,     84.21,     83.88,     80.17,     75.61,     70.30,     67.81,     66.75,     62.05,     60.22,     62.41,     57.90,     58.52,     57.46,     59.50,     60.33,     64.71,     61.78,     59.50,     54.26
,...,...,Development,Trade Balance (% of GDP),              7.46,              2.65,             -0.14,     -0.18,      7.33,     12.24,     14.68,     15.20,     10.67,      4.73,     13.22,     12.27,     15.20,     13.88,      9.86,      8.52,      7.37,      6.71,     10.96,      5.35,     -0.80,      4.84,      3.18,      1.68,      2.54,     -1.94,     -5.45,    -11.94,     -3.57,     -6.59,     -5.25
,...,...,Development,Trade in services (% of GDP),             20.78,             20.12,             18.62,     19.00,     17.55,     15.91,     15.82,     16.44,     18.69,     20.70,     19.12,     19.99,     19.23,     18.42,,,,,     14.97,     14.58,     14.52,     15.10,     14.52,     14.94,     16.04,     18.27,     20.91,     20.99,     13.25,     13.56,     12.42
,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,,              4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,              3.15,              3.46,              2.98,,      4.34,      2.47,,      2.97,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,             14.08,             14.48,             11.77,     11.03,     11.27,      9.23,     10.38,      8.95,      8.97,      8.84,      8.80,      8.00,      7.06,      6.36,      5.62,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,      5.59,      6.31,      8.49,      7.12,      7.72,      9.22,      6.03,      4.39,      1.79,,,
